"Ano do Óbito";"3205 SUL";"3207 METROPOLITANA";"3209 CENTRAL NORTE";"Total"
"1996";-;2;1;3
"1997";1;6;-;7
"1998";-;2;2;4
"1999";-;2;4;6
"2000";-;3;-;3
"2001";-;3;1;4
"2002";-;2;1;3
"2003";1;3;4;8
"2004";1;3;3;7
"2005";1;3;1;5
"2006";-;1;1;2
"2007";1;6;1;8
"2008";2;1;2;5
"2009";1;3;3;7
"2010";-;2;1;3
"2011";2;4;2;8
"2012";1;3;-;4
"2013";2;3;-;5
"2014";1;-;1;2
"2015";2;4;2;8
"2016";1;1;-;2
"2017";-;4;-;4
"2018";1;1;1;3
"2019";2;2;1;5
"2020";-;3;-;3
"Total";20;67;32;119
