"Ano do Óbito";"3205 SUL";"3207 METROPOLITANA";"3209 CENTRAL NORTE";"Total"
"1996";-;1;1;2
"1997";-;2;1;3
"1998";-;4;-;4
"1999";1;1;2;4
"2000";1;-;1;2
"2001";-;2;1;3
"2002";-;5;1;6
"2003";1;2;-;3
"2004";2;2;-;4
"2005";-;1;1;2
"2006";1;7;-;8
"2007";1;3;-;4
"2008";2;5;-;7
"2009";-;2;-;2
"2010";1;2;2;5
"2011";-;1;-;1
"2012";-;2;1;3
"2013";-;2;2;4
"2014";-;3;1;4
"2015";-;4;2;6
"2016";1;3;-;4
"2017";1;1;1;3
"2018";-;5;1;6
"2019";-;2;2;4
"2020";-;1;1;2
"Total";12;63;21;96
