"Ano do Óbito";"SUL";"METROPOLITANA";"CENTRAL NORTE";"Total"
"1996";1;1;-;2
"1997";-;1;-;1
"2000";-;1;-;1
"2002";-;1;-;1
"2004";1;1;-;2
"2005";-;1;-;1
"2006";-;2;-;2
"2012";-;1;-;1
"2015";-;-;1;1
"2016";-;1;-;1
"2018";-;-;1;1
"2019";1;-;-;1
"2020";1;-;-;1
"Total";4;10;2;16
